Class_Fine,Class_Coarse,Class_Use
BdL,BdL,RapidDrain
BlO,BlO,Blowout
CS,CS,RapidDrain
Cy,Cy,ClayLoamSand
Gr,Gr,RapidDrain
Len,Len,Other
LenA,LenA,RapidDrain
LenS,LenS,Other
LenSP,LenSP,Other
LenT,LenT,Other
LenW,LenW,Other
Li,Li,RapidDrain
Lo,Lo,ClayLoamSand
Ltc,Ltc,Other
LtcC,LtcC,Other
LtcD,LtcD,Other
LtcH,LtcH,Other
LtcS,LtcS,Other
LtcR,LtcR,Other
Ov,Ov,RapidDrain
Sa,Sa,RapidDrain
Sb,Sb,ClayLoamSand
SL,SL,RapidDrain
SwG,SwG,RapidDrain
Sy,Sy,ClayLoamSand
TB,TB,ThinBreak
UNK,UNK,SoilUnknown
Water,Water,Water
Cool_slopes,Cool_slopes,Cool_slopes
Dry,Dry,Dry
Dunes,Dunes,Dunes
Mesic,Mesic,Mesic
Sloped_mesic,Sloped_mesic,Sloped_mesic
Sloped_wet,Sloped_wet,Sloped_wet
Warm_slopes,Warm_slopes,Warm_slopes
Wet,Wet,Wet
BorrowpitsDugoutsSumps,BorrowpitsDugoutsSumps,HWater
Canals,Canals,HWater
CultivationAbandoned,CultivationAbandoned,RoughP
CultivationCrop,CultivationCrop,Crop
CultivationRoughPasture,CultivationRoughPasture,RoughP
CultivationTamePasture,CultivationTamePasture,TameP
CutBlocks,CutBlocks,HFor
HighDensityLivestockOperation,HighDensityLivestockOperation,TameP
IndustrialSiteRural,IndustrialSiteRural,UrbInd
MineSite,MineSite,Mine
MunicipalWaterSewage,MunicipalWaterSewage,HWater
OtherDisturbedVegetation,OtherDisturbedVegetation,Rural
PeatMine,PeatMine,Mine
Pipeline,Pipeline,EnSoftLin
RailHardSurface,RailHardSurface,HardLin
RailVegetatedVerge,RailVegetatedVerge,TrSoftLin
Reservoirs,Reservoirs,HWater
RoadHardSurface,RoadHardSurface,HardLin
RoadTrailVegetated,RoadTrailVegetated,TrSoftLin
RoadVegetatedVerge,RoadVegetatedVerge,TrSoftLin
RuralResidentialIndustrial,RuralResidentialIndustrial,Rural
SeismicLineNarrow,SeismicLineNarrow,EnSeismic
SeismicLineWide,SeismicLineWide,EnSeismic
TransmissionLine,TransmissionLine,EnSoftLin
UrbanIndustrial,UrbanIndustrial,UrbInd
UrbanResidence,UrbanResidence,UrbInd
WellSite,WellSite,Wellsites
WindGenerationFacility,WindGenerationFacility,UrbInd
BORROWPIT-DRY,BorrowpitsDugoutsSumps,HWater
BORROWPITS,BorrowpitsDugoutsSumps,HWater
BORROWPIT-WET,BorrowpitsDugoutsSumps,HWater
DUGOUT,BorrowpitsDugoutsSumps,HWater
RIS-BORROWPITS,BorrowpitsDugoutsSumps,HWater
SUMP,BorrowpitsDugoutsSumps,HWater
CANAL,Canals,HWater
CROP,CultivationCrop,Crop
CULTIVATION_ABANDONED,CultivationAbandoned,RoughP
ROUGH_PASTURE,CultivationRoughPasture,RoughP
TAME_PASTURE,CultivationTamePasture,TameP
AGRICULTURE_DISTURB_VEG,CultivationAbandoned,RoughP
CUTBLOCK,CutBlocks,HFor
CFO,HighDensityLivestockOperation,TameP
CAMP-INDUSTRIAL,IndustrialSiteRural,UrbInd
FACILITY-OTHER,IndustrialSiteRural,UrbInd
FACILITY-UNKNOWN,IndustrialSiteRural,UrbInd
MILL,IndustrialSiteRural,UrbInd
MISC-OIL-GAS-FACILITY,IndustrialSiteRural,UrbInd
OIL-GAS-PLANT,IndustrialSiteRural,UrbInd
RIS-CAMP-INDUSTRIAL,IndustrialSiteRural,UrbInd
RIS-FACILITY-OPERATIONS,IndustrialSiteRural,UrbInd
RIS-FACILITY-UNKNOWN,IndustrialSiteRural,UrbInd
RIS-PLANT,IndustrialSiteRural,UrbInd
RIS-TANK-FARM,IndustrialSiteRural,UrbInd
RIS-UTILITIES,IndustrialSiteRural,UrbInd
GRVL-SAND-PIT,MineSite,Mine
MINES-COAL,MineSite,Mine
MINES-OILSANDS,MineSite,Mine
MINES-PITLAKE,MineSite,Mine
OPEN-PIT-MINE,MineSite,Mine
RIS-MINES-OILSANDS,MineSite,Mine
RIS-OILSANDS-RMS,MineSite,Mine
RIS-OVERBURDEN-DUMP,MineSite,Mine
RIS-TAILING-POND,MineSite,Mine
RIS-WASTE,MineSite,Mine
TAILING-PILE,MineSite,Mine
TAILING-POND,MineSite,Mine
LAGOON,MunicipalWaterSewage,HWater
CLEARING-UNKNOWN,IndustrialSiteRural,UrbInd
CLEARING-WELLPAD-UNCONFIRMED,IndustrialSiteRural,UrbInd
DISTURB_VEG,IndustrialSiteRural,UrbInd
LANDFILL,IndustrialSiteRural,UrbInd
RECREATION,RuralResidentialIndustrial,Rural
RESIDENCE_CLEARING,IndustrialSiteRural,UrbInd
RIS-CLEARING-UNKNOWN,IndustrialSiteRural,UrbInd
RIS-SOIL-REPLACED,MineSite,Mine
RIS-SOIL-SALVAGED,MineSite,Mine
RIS-WINDROW,MineSite,Mine
SURROUNDING-VEG,IndustrialSiteRural,UrbInd
PEAT,PeatMine,Mine
PIPELINE,Pipeline,EnSoftLin
RIS-PIPELINE,Pipeline,EnSoftLin
RLWY-ABANDONED,RailHardSurface,HardLin
RLWY-DBL-TRACK,RailHardSurface,HardLin
RLWY-MLT-TRACK,RailHardSurface,HardLin
RLWY-SGL-TRACK,RailHardSurface,HardLin
RLWY-SPUR,RailHardSurface,HardLin
VEGETATED-EDGE-RAILWAYS,RailVegetatedVerge,TrSoftLin
RESERVOIR,Reservoirs,HWater
RIS-DRAINAGE,Reservoirs,HWater
RIS-RESERVOIR,Reservoirs,HWater
AIRP-RUNWAY,RoadHardSurface,HardLin
INTERCHANGE-RAMP,RoadHardSurface,HardLin
RIS-AIRP-RUNWAY,RoadHardSurface,HardLin
RIS-ROAD,RoadHardSurface,HardLin
ROAD-GRAVEL-1L,RoadHardSurface,HardLin
ROAD-GRAVEL-2L,RoadHardSurface,HardLin
ROAD-PAVED-1L,RoadHardSurface,HardLin
ROAD-PAVED-2L,RoadHardSurface,HardLin
ROAD-PAVED-3L,RoadHardSurface,HardLin
ROAD-PAVED-4L,RoadHardSurface,HardLin
ROAD-PAVED-5L,RoadHardSurface,HardLin
ROAD-PAVED-6L,RoadHardSurface,HardLin
ROAD-PAVED-7L,RoadHardSurface,HardLin
ROAD-PAVED-DIV,RoadHardSurface,HardLin
ROAD-PAVED-UNDIV-1L,RoadHardSurface,HardLin
ROAD-PAVED-UNDIV-2L,RoadHardSurface,HardLin
ROAD-PAVED-UNDIV-4L,RoadHardSurface,HardLin
ROAD-UNPAVED-1L,RoadHardSurface,HardLin
ROAD-UNPAVED-2L,RoadHardSurface,HardLin
ROAD-UNCLASSIFIED,RoadTrailVegetated,TrSoftLin
ROAD-UNIMPROVED,RoadTrailVegetated,TrSoftLin
ROAD-WINTER-ACCESS,RoadTrailVegetated,TrSoftLin
RUNWAY,RoadTrailVegetated,TrSoftLin
TRAIL,RoadTrailVegetated,TrSoftLin
TRAIL-ATV,RoadTrailVegetated,TrSoftLin
TRUCK-TRAIL,RoadTrailVegetated,TrSoftLin
VEGETATED-EDGE-ROADS,RoadVegetatedVerge,TrSoftLin
CAMPGROUND,RuralResidentialIndustrial,Rural
COUNTRY-RESIDENCE,RuralResidentialIndustrial,Rural
GOLFCOURSE,RuralResidentialIndustrial,Rural
GREENSPACE,RuralResidentialIndustrial,Rural
RURAL-RESIDENCE,RuralResidentialIndustrial,Rural
TRANSFER_STATION,RuralResidentialIndustrial,Rural
LOW-IMPACT-SEISMIC,SeismicLineNarrow,EnSeismic
PRE-LOW-IMPACT-SEISMIC,SeismicLineWide,EnSeismic
RIS-TRANSMISSION-LINE,TransmissionLine,EnSoftLin
TRANSMISSION-LINE,TransmissionLine,EnSoftLin
URBAN-INDUSTRIAL,UrbanIndustrial,UrbInd
URBAN-RESIDENCE,UrbanResidence,UrbInd
RIS-RECLAIMED-CERTIFIED,WellSite,Wellsites
RIS-RECLAIMED-PERMANENT,WellSite,Wellsites
RIS-RECLAIMED-TEMP,WellSite,Wellsites
RIS-RECLAIM-READY,WellSite,Wellsites
RIS-WELL,WellSite,Wellsites
WELL-ABAND,WellSite,Wellsites
WELL-CLEARED-DRILLED,WellSite,Wellsites
WELL-CLEARED-NOT-DRILLED,WellSite,Wellsites
WELL-DRILLED-OTHER,WellSite,Wellsites
WELL-GAS,WellSite,Wellsites
WELL-OIL,WellSite,Wellsites
WELL-OTHER,WellSite,Wellsites
WELL-CASED,WellSite,Wellsites
WELL-BIT,WellSite,Wellsites
WINDMILLS,WindGenerationFacility,UrbInd
ACREAGE,RuralResidentialIndustrial,Rural
AGRICULTURE_CLEARING,CultivationRoughPasture,RoughP
CANAL-MAJ,Canals,HWater
CULTIVATION,CultivationCrop,Crop
CUTLINE-TRAIL,SeismicLineWide,EnSeismic
IND-HIGH,IndustrialSiteRural,UrbInd
IND-LOW,IndustrialSiteRural,UrbInd
RURAL_1-5HA,RuralResidentialIndustrial,Rural
RURAL_GT_5HA,RuralResidentialIndustrial,Rural
RURAL_LESS_1HA,RuralResidentialIndustrial,Rural
SOFT_INTERCHANGE-RAMP,RoadVegetatedVerge,TrSoftLin
SOFT_RLWY-ABANDONED,RoadVegetatedVerge,TrSoftLin
SOFT_RLWY-SGL-TRACK,RoadVegetatedVerge,TrSoftLin
SOFT_ROAD-GRAVEL-1L,RoadVegetatedVerge,TrSoftLin
SOFT_ROAD-GRAVEL-2L,RoadVegetatedVerge,TrSoftLin
SOFT_ROAD-PAVED-DIV,RoadVegetatedVerge,TrSoftLin
SOFT_ROAD-PAVED-UNDIV-1L,RoadVegetatedVerge,TrSoftLin
SOFT_ROAD-PAVED-UNDIV-2L,RoadVegetatedVerge,TrSoftLin
SUMPS,BorrowpitsDugoutsSumps,HWater
TRAIL-ATV-INDEFINITE,RoadTrailVegetated,TrSoftLin
TRANS-LINE,TransmissionLine,EnSoftLin
URBAN_RESIDENCE,UrbanResidence,UrbInd
WELL,WellSite,Wellsites
WELL-GAS-ABAND,WellSite,Wellsites
MINES,MineSite,Mine
MINES-DISTURBED-NO-VEG,MineSite,Mine
MINES-DISTURBED-VEG,MineSite,Mine
RLWY-FORMER,RailHardSurface,HardLin
ROAD-PAVED,RoadHardSurface,HardLin
WELL-OIL-ABAND,WellSite,Wellsites
WELL-SPOT07,WellSite,Wellsites
WELL-WATER,WellSite,Wellsites
CUTLINE_TRAIL,SeismicLineWide,EnSeismic
MINES-UNDISTURBED,MineSite,Mine
PIPELINE-INTERSECTION,Pipeline,EnSoftLin
ROAD-GRAVEL,RoadHardSurface,HardLin
ROAD-INTERSECTION,RoadHardSurface,HardLin
ROAD-WINTER-ROAD,RoadHardSurface,HardLin
SOFT_RLWY-SPUR,RailVegetatedVerge,TrSoftLin
VEG-SURFACE-OVERLAP,RoadVegetatedVerge,TrSoftLin
WELL-CBM,WellSite,Wellsites
WELL-WATER-ABAND,WellSite,Wellsites
WELL_MODEL_FOREST,WellSite,Wellsites
AIRF-RUNWAY-ABAND,RoadHardSurface,HardLin
AIRF-RUNWAY-ACTIVE,RoadHardSurface,HardLin
MAJ-MILL,IndustrialSiteRural,UrbInd
SOFT_RLWY-DBL-TRACK,RailVegetatedVerge,TrSoftLin
DISTERB_VEG,IndustrialSiteRural,UrbInd
RESIDENCE,RuralResidentialIndustrial,Rural
ROAD-PAVED-GRAVEL,RoadHardSurface,HardLin
RURAL_1-5ha,RuralResidentialIndustrial,Rural
RURAL_GT_5ha,RuralResidentialIndustrial,Rural
RURAL_LESS_1ha,RuralResidentialIndustrial,Rural
SOFT_ROAD-PAVED-UNDIV-4L,RoadVegetatedVerge,TrSoftLin
WINDMILL,WindGenerationFacility,UrbInd
WINTER_ROAD,RoadTrailVegetated,TrSoftLin
CANAL-MAJ-REP-PRI,Canals,HWater
FRUIT-VEGETABLES,CultivationCrop,Crop
RLWY-INTERSECTION,RailHardSurface,HardLin
AIRP-RUNWAY-ACTIVE,RoadHardSurface,HardLin
CUTLINE-TRAIL-WITHIN-CLEARING,SeismicLineWide,EnSeismic
FORD-WINTER-XING,RoadHardSurface,HardLin
PWR-GEN-STA,IndustrialSiteRural,UrbInd
SOFT_RLWY-MLT-TRACK,RailVegetatedVerge,TrSoftLin
WELL-GAS-CAPPED,WellSite,Wellsites
OTH-IND-SITE,IndustrialSiteRural,UrbInd
RAILWAY-TRACKS,RailHardSurface,HardLin
RLWY,RailHardSurface,HardLin
ROAD_PAVED_GRAVEL,RoadHardSurface,HardLin
ROAD_UNCLASSIFIED,RoadHardSurface,HardLin
ROAD_UNIMPROVED,RoadHardSurface,HardLin
WELL-ABANDON,WellSite,Wellsites
WELL-ABANDONED,WellSite,Wellsites
WELL-CLEARING,WellSite,Wellsites
WELL-COMMINGLED,WellSite,Wellsites
WELL-GAS-PUMPING GAS,WellSite,Wellsites
WELL-NEW LICENSE,WellSite,Wellsites
WELL-OIL-SUSPENDED,WellSite,Wellsites
WELL-STANDING,WellSite,Wellsites
WELLSITES,WellSite,Wellsites
CLEARING-WELLPAD-UNKNOWN,IndustrialSiteRural,UrbInd
ROAD_UNIMRPOVED,RoadTrailVegetated,TrSoftLin
HARVEST-AREA,CutBlocks,HFor
ROAD-WINTER,RoadHardSurface,HardLin
WELL-CLEARED-NOT-CONFIRMED,WellSite,Wellsites
FRUIT-VEGETABLES,CultivationCrop,Crop
